primaryTitle,Genres,TotalGross,Year,Distributor,Release Month,CPI,Gas,Unemploy,Per Savings
9,Crime,"$31,749,894 ",2009,Focus Features,9/1/2009,215.861,2.55,9.8,5.6
9,Drama,"$31,749,894 ",2009,Focus Features,9/1/2009,215.861,2.55,9.8,5.6
21,Crime,"$81,159,365 ",2008,Sony Pictures Entertainment (SPE),3/1/2008,213.448,3.7,5.1,3.4
21,Drama,"$81,159,365 ",2008,Sony Pictures Entertainment (SPE),3/1/2008,213.448,3.7,5.1,3.4
300,Action,"$210,614,939 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
300,Drama,"$210,614,939 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
1408,Fantasy,"$71,985,628 ",2007,-,6/1/2007,207.234,2.56,4.6,3.5
1408,Horror,"$71,985,628 ",2007,-,6/1/2007,207.234,2.56,4.6,3.5
2012,Action,"$166,112,167 ",2009,Sony Pictures Entertainment (SPE),11/1/2009,217.234,2.79,9.9,5.6
2012,Sci-Fi,"$166,112,167 ",2009,Sony Pictures Entertainment (SPE),11/1/2009,217.234,2.79,9.9,5.6
2012,Adventure,"$166,112,167 ",2009,Sony Pictures Entertainment (SPE),11/1/2009,217.234,2.79,9.9,5.6
"10,000 BC",Action,"$94,784,201 ",2008,Warner Bros.,3/1/2008,213.448,3.7,5.1,3.4
"10,000 BC",Drama,"$94,784,201 ",2008,Warner Bros.,3/1/2008,213.448,3.7,5.1,3.4
"10,000 BC",Adventure,"$94,784,201 ",2008,Warner Bros.,3/1/2008,213.448,3.7,5.1,3.4
12 Rounds,Action,"$12,234,694 ",2009,Twentieth Century Fox,3/1/2009,212.495,2.32,8.7,5.9
12 Rounds,Crime,"$12,234,694 ",2009,Twentieth Century Fox,3/1/2009,212.495,2.32,8.7,5.9
13 Going on 30,Comedy,"$57,231,747 ",2004,Revolution Studios,4/1/2004,187.4,1.52,5.6,5.1
13 Going on 30,Fantasy,"$57,231,747 ",2004,Revolution Studios,4/1/2004,187.4,1.52,5.6,5.1
15 Minutes,Action,"$24,403,552 ",2001,New Line Cinema,3/1/2001,176.1,1.39,4.3,5.3
15 Minutes,Crime,"$24,403,552 ",2001,New Line Cinema,3/1/2001,176.1,1.39,4.3,5.3
16 Blocks,Action,"$36,895,141 ",2006,Warner Bros.,3/1/2006,199.7,2.43,4.7,4.1
16 Blocks,Drama,"$36,895,141 ",2006,Warner Bros.,3/1/2006,199.7,2.43,4.7,4.1
17 Again,Comedy,"$64,167,069 ",2009,Warner Bros.,4/1/2009,212.709,2.35,9,6.6
17 Again,Drama,"$64,167,069 ",2009,Warner Bros.,4/1/2009,212.709,2.35,9,6.6
2 Fast 2 Furious,Action,"$127,154,901 ",2003,Universal Pictures,6/1/2003,183.1,1.31,6.3,5.3
2 Fast 2 Furious,Crime,"$127,154,901 ",2003,Universal Pictures,6/1/2003,183.1,1.31,6.3,5.3
2 Fast 2 Furious,Adventure,"$127,154,901 ",2003,Universal Pictures,6/1/2003,183.1,1.31,6.3,5.3
20th Anniversary,Crime,,2002,,1/1/2002,177.7,1.12,5.7,5.7
20th Anniversary,Documentary,,2002,,1/1/2002,177.7,1.12,5.7,5.7
21 Grams,Crime,"$16,290,476 ",2003,Focus Features,11/1/2003,185,1.33,5.8,5.3
21 Grams,Drama,"$16,290,476 ",2003,Focus Features,11/1/2003,185,1.33,5.8,5.3
25th Hour,Drama,"$13,084,595 ",2003,Walt Disney Studios Motion Pictures,12/1/2003,185.5,1.36,5.7,5.2
27 Dresses,Comedy,"$76,808,654 ",2008,Twentieth Century Fox,1/1/2008,212.174,3.34,5,3.2
27 Dresses,Romance,"$76,808,654 ",2008,Twentieth Century Fox,1/1/2008,212.174,3.34,5,3.2
28 Days Later...,Drama,"$45,064,915 ",2003,Fox Searchlight Pictures,6/1/2003,183.1,1.31,6.3,5.3
28 Days Later...,Horror,"$45,064,915 ",2003,Fox Searchlight Pictures,6/1/2003,183.1,1.31,6.3,5.3
28 Weeks Later,Action,"$28,638,916 ",2007,Fox Atomic,5/1/2007,206.755,2.57,4.4,3.6
28 Weeks Later,Horror,"$28,638,916 ",2007,Fox Atomic,5/1/2007,206.755,2.57,4.4,3.6
28 Weeks Later,Adventure,"$28,638,916 ",2007,Fox Atomic,5/1/2007,206.755,2.57,4.4,3.6
3 Idiots,Comedy,"$6,532,874 ",2009,Reliance Big Pictures,12/1/2009,217.347,2.79,9.9,5.6
3 Idiots,Drama,"$6,532,874 ",2009,Reliance Big Pictures,12/1/2009,217.347,2.79,9.9,5.6
3:10 to Yuma,Action,"$53,606,916 ",2007,Lionsgate,9/1/2007,208.547,2.71,4.7,3.1
3:10 to Yuma,Crime,"$53,606,916 ",2007,Lionsgate,9/1/2007,208.547,2.71,4.7,3.1
30 Days of Night,Action,"$39,569,000 ",2007,Sony Pictures Entertainment (SPE),10/1/2007,209.19,2.81,4.7,3
30 Days of Night,Horror,"$39,569,000 ",2007,Sony Pictures Entertainment (SPE),10/1/2007,209.19,2.81,4.7,3
3000 Miles to Graceland,Action,"$15,749,959 ",2001,Warner Bros.,2/1/2001,176,1.46,4.2,5
3000 Miles to Graceland,Crime,"$15,749,959 ",2001,Warner Bros.,2/1/2001,176,1.46,4.2,5
3000 Miles to Graceland,Comedy,"$15,749,959 ",2001,Warner Bros.,2/1/2001,176,1.46,4.2,5
40 Days and 40 Nights,Comedy,"$37,950,822 ",2002,Miramax,3/1/2002,178.5,1.12,5.7,5.6
40 Days and 40 Nights,Romance,"$37,950,822 ",2002,Miramax,3/1/2002,178.5,1.12,5.7,5.6
50 First Dates,Comedy,"$120,908,074 ",2004,Sony Pictures Entertainment (SPE),2/1/2004,186.7,1.56,5.6,4.9
50 First Dates,Drama,"$120,908,074 ",2004,Sony Pictures Entertainment (SPE),2/1/2004,186.7,1.56,5.6,4.9
500 Days of Summer,Comedy,"$32,391,374 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
500 Days of Summer,Drama,"$32,391,374 ",2009,Fox Searchlight Pictures,7/1/2009,214.726,2.45,9.5,5.5
8 Mile,Drama,"$116,750,901 ",2002,Universal Pictures,11/1/2002,181.5,1.22,5.9,5.8
8 Mile,Music,"$116,750,901 ",2002,Universal Pictures,11/1/2002,181.5,1.22,5.9,5.8
88 Minutes,Crime,"$17,213,467 ",2008,Sony Pictures Entertainment (SPE),4/1/2008,213.942,3.88,5,2.9
88 Minutes,Drama,"$17,213,467 ",2008,Sony Pictures Entertainment (SPE),4/1/2008,213.942,3.88,5,2.9
A Beautiful Mind,Biography,"$170,742,341 ",2001,Universal Pictures,12/1/2001,177.4,1.12,5.7,3.8
A Beautiful Mind,Drama,"$170,742,341 ",2001,Universal Pictures,12/1/2001,177.4,1.12,5.7,3.8
A Christmas Carol,Comedy,"$137,855,863 ",2009,Walt Disney Studios Motion Pictures,11/1/2009,217.234,2.79,9.9,5.6
A Christmas Carol,Fantasy,"$137,855,863 ",2009,Walt Disney Studios Motion Pictures,11/1/2009,217.234,2.79,9.9,5.6
A Cinderella Story,Comedy,"$51,438,175 ",2004,Warner Bros.,7/1/2004,189.1,1.54,5.5,5
A Cinderella Story,Family,"$51,438,175 ",2004,Warner Bros.,7/1/2004,189.1,1.54,5.5,5
A Day Without a Mexican,Comedy,"$4,179,890 ",2004,Televisa Cine,5/1/2004,188.2,1.53,5.6,5.1
A Day Without a Mexican,Drama,"$4,179,890 ",2004,Televisa Cine,5/1/2004,188.2,1.53,5.6,5.1
A Good Year,Comedy,"$7,459,300 ",2006,Twentieth Century Fox,11/1/2006,202,2.38,4.5,3.6
A Good Year,Drama,"$7,459,300 ",2006,Twentieth Century Fox,11/1/2006,202,2.38,4.5,3.6
A Guy Thing,Comedy,"$15,545,431 ",2003,Metro-Goldwyn-Mayer (MGM),1/1/2003,182.6,1.4,5.8,5.4
A Guy Thing,Romance,"$15,545,431 ",2003,Metro-Goldwyn-Mayer (MGM),1/1/2003,182.6,1.4,5.8,5.4
A History of Violence,Action,"$31,504,633 ",2005,New Line Cinema,9/1/2005,198.8,2.59,5,2.7
A History of Violence,Crime,"$31,504,633 ",2005,New Line Cinema,9/1/2005,198.8,2.59,5,2.7
A Knight's Tale,Action,"$56,569,702 ",2001,Sony Pictures Entertainment (SPE),5/1/2001,177.3,1.34,4.3,4.5
A Knight's Tale,Romance,"$56,569,702 ",2001,Sony Pictures Entertainment (SPE),5/1/2001,177.3,1.34,4.3,4.5
A Knight's Tale,Adventure,"$56,569,702 ",2001,Sony Pictures Entertainment (SPE),5/1/2001,177.3,1.34,4.3,4.5
A Lot Like Love,Comedy,"$21,845,719 ",2005,Walt Disney Studios Motion Pictures,4/1/2005,193.7,2.12,5.2,2.7
A Lot Like Love,Drama,"$21,845,719 ",2005,Walt Disney Studios Motion Pictures,4/1/2005,193.7,2.12,5.2,2.7
A Man Apart,Action,"$26,736,098 ",2003,New Line Cinema,4/1/2003,183.2,1.49,6,5.1
A Man Apart,Crime,"$26,736,098 ",2003,New Line Cinema,4/1/2003,183.2,1.49,6,5.1
A Mighty Heart,Biography,"$9,176,787 ",2007,Paramount Vantage,6/1/2007,207.234,2.56,4.6,3.5
A Mighty Heart,Drama,"$9,176,787 ",2007,Paramount Vantage,6/1/2007,207.234,2.56,4.6,3.5
A Mighty Wind,Comedy,"$17,781,006 ",2003,Warner Bros.,4/1/2003,183.2,1.49,6,5.1
A Mighty Wind,Music,"$17,781,006 ",2003,Warner Bros.,4/1/2003,183.2,1.49,6,5.1
A Perfect Getaway,Drama,"$15,515,460 ",2009,Universal Pictures,8/1/2009,215.445,2.56,9.6,4.5
A Perfect Getaway,Mystery,"$15,515,460 ",2009,Universal Pictures,8/1/2009,215.445,2.56,9.6,4.5
